Software?,Imaging?,REVIEW_PANEL,MEDICALSPECIALTY,PRODUCTCODE,DEVICENAME,DEVICECLASS,UNCLASSIFIED_REASON,GMPEXEMPTFLAG,THIRDPARTYFLAG,REVIEWCODE,REGULATIONNUMBER,SUBMISSION_TYPE_ID,DEFINITION,PHYSICALSTATE,TECHNICALMETHOD,TARGETAREA,Implant_Flag,Life_Sustain_support_flag,SummaryMalfunctionReporting
TRUE,TRUE,CH,CH,NVV,"Digital Image, Storage And Communications, Non-Diagnostic, Laboratory Information System",1,,N,N,,862.21,4,"Intended for clinical laboratory image storage and communications.  A clinical laboratory image storage and communications device is a device that provides electronic storage and retrieval functions, and provides electronic transfer for non-diagnostic clinical laboratory images. Images are not intended for diagnostic purposes and not intended for radiological images.",The clinical laboratory image storage and communications device is composed of the necessary hardware and software for digital image capture and storage.,Allows users to receive and store documents and non-diagnostic clinical laboratory digital images in a central repository or Laboratory Information System (LIS).  It will allow users to scan any document for storage or retrieval and may incorporate OCR indexing technology. The system allows users to capture clinical laboratory images from a variety of methods including digital cameras attached to a microscope; digital image imported from other media and may be linked to a patient record.,In Vitro,N,N,Eligible
TRUE,TRUE,DE,DE,NOF,"System, Optical Impression, Computer Assisted Design And Manufacturing (Cad/Cam) Of Dental Restorations",2,,N,N,,872.3661,4,"An optical impression system for cad/cam of dental restorations is a device used to record the topographical characteristics of teeth, dental impressions, or stone models by analog or digital methods for use in the computer aided design and manufacturing of dental restorative prosthetic devices.  Such systems may consist of a camera, scanner, or equivalent type of sensor and a computer with software.",,,,N,N,Eligible
TRUE,TRUE,GU,GU,FET,"Endoscopic Video Imaging System/Component, Gastroenterology-Urology",2,,N,Y,M,876.15,1,To allow for visualization of body cavities through an endoscope by projecting images to a monitor.,"May include:  ccd camera, monitor, other software or hardware associated with video equiptment, and components from other regulations, such as a pump.",Inserted through endoscope.,"various body cavities, hollow organs, and canals in gi and gu tract.",N,N,Eligible
TRUE,TRUE,GU,,OAY,"Light Source System, Diagnostic Endoscopic",3,,N,N,,,2,"A fluorescence system intended for use as an adjunct to white light cystoscopy when used in combination with a photosensitizer for the detection of bladder cancer.  Patients with known or suspected bladder cancer and/or recurrence of bladder cancer, in patients undergoing diagnostic testing for bladder cancer by cystoscopy or positive urine cytology or who present with hematuria and/or a positive urine cytology test.","System includes a PPD light source, specific PDD telescopes for cystoscopy), camera system (PDD camera control unit, and PDD camera heads) fluid light cable, and PC based software communication program","1.	excitation and emission filters in the PDD telescopes and PDD camera heads  limit light to the blue portion of the visible spectrum The combination of these 2 filters in conjunction with the photo- fluorescent drug Hexvix? enables visualization  of carcinoma in situ (CIS) as a red fluorescent image against normal tissue that appears blue.",Urinary Bladder,N,N,Eligible
TRUE,TRUE,GU,GU,OCS,"Endoscopic Video Imaging System/Component, Gastroenterology-Urology",2,,N,N,,876.15,1,To allow for visualization of body cavities through an endoscope by projecting images to a monitor.,"May include: ccd camera, monitor, other software or hardware associated with video equipment, and components from other regulations, such as a pump.",Inserted through endoscope,"various body cavities, hollow organs, and canals in GI and GU tract",N,N,Eligible
TRUE,TRUE,GU,GU,OQT,"Prostate Lesion, Documentation, System",2,,N,N,,876.205,1,Produces an elasticity image of the prostate to document prostate abnormalities that were previously identified by digital rectal examination.,Cart-based system consisting of a hand-held rectal probe attached to a computer with proprietary image reconstruction software.,Uses an array of pressure sensors and image reconstruction software to create a 3-D map showing areas of relative tissue hardness or softness within the prostate.,"Prostate, rectum.",N,N,Eligible
TRUE,TRUE,IM,IM,PIV,Automated Indirect Immunofluorescence Microscope And Software-Assisted System For Clinical Use,2,,N,N,,866.475,1,"Automated system consisting of a fluorescence microscope and software that acquires, analyzes, stores and displays digital images of stained indirect immunofluorescent slides.  It is intended as an aid in the detection and classification of certain antibodies by indirect immunofluorescent technology.  A trained operator must confirm all device generated results.","The system may include a fluorescence microscope with light source, a motorized microscope stage, dedicated instrument controls, a camera, a computer, a sample processor, and other hardware components.  The software may include fluorescent signal acquisition and processing software, data storage, data transferring mechanisms, and assay specific algorithms to suggest results.  A trained operator must confirm results generated with the device.",indirect immunofluorescent technology,human serum,N,N,Eligible
TRUE,TRUE,NE,NE,PPT,Cranial Surgical Planning And Instrument Guides,2,,N,N,,882.431,1,"Software and hardware for surgical planning to create patient-specific anatomical models, surgical templates, and guides for use in the marking or cutting of cranial bone for neurosurgical procedures.",Software and hardware,"Pre-surgical planning including transferring, visualizing, and editing medical data. Patient-specific templates/guides are based on a pre-operative plan and are designed to fit a specific patient. These templates/guides are used to assist a surgeon in guiding the marking of bone and/or guiding surgical instruments.",Cranial bone,N,N,Ineligible
TRUE,TRUE,OR,OR,PBF,Orthopaedic Surgical Planning And Instrument Guides,2,,N,N,,888.303,1,As a surgical instrument to assist in pre-operative planning and/or guiding the marking of bone and/or guide surgical instruments for orthopedic surgical procedures.,Software and hardware,"for pre-surgical planning including transfering, visualizing, measuring, annotating and editing medical data.  Patient specific templates that are based on pre-operative plan and are designed to fit a specific patient.  These guides are used to assist a surgeon in guiding the marking of bone and/or guiding surgical instruments.",long bones,N,N,Eligible
TRUE,TRUE,PA,PA,PZZ,Digital Pathology Display,2,,N,N,,864.37,1,The digital pathology display device is intended for in vitro diagnostic use to display digital images of histopathology slides acquired from FDA-cleared whole-slide imaging scanners that are used for review and interpretation by trained pathologists.,Hardware and embedded software,Hardware and embedded software for displaying digital pathology images of tissue on glass slides.,Histopathology slides of human clinical tissue specimens,N,N,Ineligible
